handle,sku,max_variant_images,variant_image_2,variant_image_3,variant_image_4,variant_image_5,variant_image_6
herbal-aloe,0006,4,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/herbal-aloe/herbal-aloe_0006_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/herbal-aloe/herbal-aloe_0006_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/herbal-aloe/herbal-aloe_0006_4.png,,
herbal-aloe,1065,4,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/herbal-aloe/herbal-aloe_1065_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/herbal-aloe/herbal-aloe_1065_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/herbal-aloe/herbal-aloe_1065_4.png,,
instantni-bylinny-napoj-51g,178K,5,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/instantni-bylinny-napoj-51g/instantni-bylinny-napoj-51g_178K_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/instantni-bylinny-napoj-51g/instantni-bylinny-napoj-51g_178K_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/instantni-bylinny-napoj-51g/instantni-bylinny-napoj-51g_178K_4.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/instantni-bylinny-napoj-51g/instantni-bylinny-napoj-51g_178K_5.png,
instantni-bylinny-napoj-51g,180K,5,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/instantni-bylinny-napoj-51g/instantni-bylinny-napoj-51g_180K_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/instantni-bylinny-napoj-51g/instantni-bylinny-napoj-51g_180K_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/instantni-bylinny-napoj-51g/instantni-bylinny-napoj-51g_180K_4.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/instantni-bylinny-napoj-51g/instantni-bylinny-napoj-51g_180K_5.png,
instantni-bylinny-napoj-51g,181K,5,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/instantni-bylinny-napoj-51g/instantni-bylinny-napoj-51g_181K_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/instantni-bylinny-napoj-51g/instantni-bylinny-napoj-51g_181K_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/instantni-bylinny-napoj-51g/instantni-bylinny-napoj-51g_181K_4.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/instantni-bylinny-napoj-51g/instantni-bylinny-napoj-51g_181K_5.png,
instantni-bylinny-napoj-102g,179K,5,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/instantni-bylinny-napoj-102g/instantni-bylinny-napoj-102g_179K_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/instantni-bylinny-napoj-102g/instantni-bylinny-napoj-102g_179K_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/instantni-bylinny-napoj-102g/instantni-bylinny-napoj-102g_179K_4.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/instantni-bylinny-napoj-102g/instantni-bylinny-napoj-102g_179K_5.png,
h24-rebuild,403K,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/h24-rebuild/h24-rebuild_403K_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/h24-rebuild/h24-rebuild_403K_3.png,,,
formula1-780g,048K,5,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-780g/formula1-780g_048K_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-780g/formula1-780g_048K_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-780g/formula1-780g_048K_4.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-780g/formula1-780g_048K_5.png,
formula1-182g,053K,6,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-182g/formula1-182g_053K_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-182g/formula1-182g_053K_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-182g/formula1-182g_053K_4.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-182g/formula1-182g_053K_5.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-182g/formula1-182g_053K_6.png
formula1-550g,4466,6,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4466_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4466_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4466_4.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4466_5.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4466_6.png
